source,model,B,K,theta_a,theta_b,true_delta,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_dir_wrong
DSPy RS,Qwen2.5-3B,6500000,6,0.3017571756634522,0.24860111910471622,0.05315605655873601,0.3301358912869704,0.3301358912869704,0.30407632748735136,0.35619545508658945,0.3146964856230032,0.2782879267786719,0.3511050444673344,0.32012779552715653,0.3121797654113942,0.3280758256429189,0.29621065861398016,0.27581533067615704,0.3168537012105816,0.29621065861398016,0.2739104653465725,0.3168450296681327,0.24860111910471622,False,True,False,True,True,False
DSPy RS,Qwen2.5-7B,500000,6,0.33946394014638537,0.3061550759392486,0.033308864207136746,0.34852118305355717,0.34852118305355717,0.3221158192255268,0.37492654688158755,0.3450479233226837,0.30777782543452675,0.38231802121084063,0.34297124600638973,0.3347820449580279,0.3511604470547516,0.34232013111264237,0.317642055426017,0.36692027499136526,0.34232013111264237,0.31671067544143433,0.3669297470666284,0.3061550759392486,True,True,True,True,True,False
DSPy RS,Qwen2.5-7B,1500000,6,0.34382363578144054,0.3061550759392486,0.03766855984219192,0.3501199040767386,0.3501199040767386,0.32368654017287724,0.37655326798059996,0.34345047923322686,0.30622143641600214,0.3806795220504516,0.34376996805111826,0.33687041311160515,0.35066952299063137,0.3480668580403318,0.32315713013582004,0.3736517946644361,0.3480668580403318,0.3217318241592406,0.37360185794698186,0.3061550759392486,True,True,True,True,True,False
DSPy RS,Qwen2.5-7B,3000000,6,0.34248974149097927,0.3061550759392486,0.03633466555173065,0.34852118305355717,0.34852118305355717,0.3221158192255268,0.37492654688158755,0.34185303514376997,0.30466551449964036,0.3790405557878996,0.3420127795527157,0.33523290193585964,0.34879265716957175,0.34655243992807655,0.32144107604572664,0.3719166130122026,0.34655243992807655,0.320149187147391,0.3719690647271621,0.3061550759392486,True,True,True,True,True,False
DSPy RS,Qwen2.5-7B,6500000,6,0.34250200024593985,0.3061550759392486,0.03634692430669123,0.34852118305355717,0.34852118305355717,0.3221158192255268,0.37492654688158755,0.34185303514376997,0.30466551449964036,0.3790405557878996,0.3450479233226837,0.33783984208015533,0.35225600456521206,0.3469528047651869,0.3221512186896311,0.3723334439243248,0.3469528047651869,0.3205315672550295,0.37207578427896715,0.3061550759392486,True,True,True,True,True,False
DSPy RS,Qwen3-8B,500000,6,0.3788483048235883,0.3733013589128697,0.0055469459107185815,0.3876898481215028,0.3876898481215028,0.36069037054325814,0.4146893256997475,0.36900958466453676,0.33117872003779525,0.40684044929127827,0.38242811501597446,0.37294994971940076,0.39190628031254815,0.3802969099910376,0.35551260283043984,0.4068475326777821,0.3802969099910376,0.3552451215429588,0.4063572200777976,0.3733013589128697,True,True,True,True,True,False
DSPy RS,Qwen3-8B,1500000,6,0.3829255063479317,0.3733013589128697,0.009624147435062014,0.3980815347721823,0.3980815347721823,0.3709557528264794,0.42520731671788514,0.3817891373801917,0.34370043629383873,0.4198778384665447,0.3961661341853035,0.38708086532525493,0.40525140304535207,0.3874485106534374,0.3626273564181282,0.4128712227797703,0.3874485106534374,0.3622135565493988,0.4122065067261487,0.3733013589128697,True,True,False,True,True,False
DSPy RS,Qwen3-8B,3000000,6,0.38424452724157554,0.3733013589128697,0.010943168328705843,0.3980815347721823,0.3980815347721823,0.3709557528264794,0.42520731671788514,0.3817891373801917,0.34370043629383873,0.4198778384665447,0.3961661341853035,0.38708086532525493,0.40525140304535207,0.3888500407203739,0.36409836669206747,0.4145274872100754,0.3888500407203739,0.3640001363974308,0.41371740724461964,0.3733013589128697,True,True,False,True,True,False
DSPy RS,Qwen3-8B,6500000,6,0.38424452724157554,0.3733013589128697,0.010943168328705843,0.3980815347721823,0.3980815347721823,0.3709557528264794,0.42520731671788514,0.3817891373801917,0.34370043629383873,0.4198778384665447,0.3961661341853035,0.38708086532525493,0.40525140304535207,0.3888500407203739,0.36409836669206747,0.4145274872100754,0.3888500407203739,0.3640001363974308,0.41371740724461964,0.3733013589128697,True,True,False,True,True,False
DSPy RS,GLM-4-9B,500000,6,0.2542758977785302,0.25499600319744203,-0.0007201054189118206,0.2573940847322142,0.2573940847322142,0.2331667354976181,0.2816214339668103,0.23162939297124602,0.19855451361147952,0.2647042723310125,0.24536741214057506,0.23818385288602886,0.2525509713951212,0.24930713202755123,0.22728458670806423,0.2725910644974292,0.24930713202755123,0.22674040379511048,0.27092954820238696,0.25499600319744203,True,True,False,True,True,True
DSPy RS,GLM-4-9B,1500000,6,0.25494109881014504,0.25499600319744203,-5.490438729699454e-05,0.2573940847322142,0.2573940847322142,0.2331667354976181,0.2816214339668103,0.2380191693290735,0.20463088884583547,0.2714074498123115,0.2477635782747604,0.24052225331678795,0.25500490323273284,0.25266158955853146,0.2310719653705659,0.27542259595973656,0.25266158955853146,0.2292646416142592,0.27508440609917956,0.25499600319744203,True,True,True,True,True,True
