model,B,K,search_tokens,budget_dev_pct,theta_a_true,theta_b_true,true_delta,true_a_better,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_claims_a_gt_b,m3_claims,m4_claims,m5_claims,m6_claims,m7_claims
Llama-3.1-8B,3000000,6,0,-100.0,0.32552124831900514,0.3276723276723277,-0.002151079353322538,False,0.3386613386613387,0.3386613386613387,0.3093433752196123,0.36797930210306506,0.3393213572854291,0.2978190921160293,0.3808236224548289,0.3265469061876247,0.3171707342847959,0.3359230780904535,0.3206260585987314,0.2931154069952654,0.34983075030147515,0.3206260585987314,0.2934497352307296,0.34710602484821385,0.3276723276723277,True,True,True,True,True,True,False,False,False,False,False
Llama-3.1-8B,6500000,6,0,-100.0,0.32448085242354596,0.3276723276723277,-0.0031914752487817166,False,0.33266733266733267,0.33266733266733267,0.3034785956870964,0.36185606964756895,0.3253493013972056,0.28428300894299496,0.3664155938514162,0.3205588822355289,0.3134909330172784,0.32762683145377947,0.31984813021232944,0.29201227183745415,0.34789312704218267,0.31984813021232944,0.2922001237823052,0.3468779221580233,0.3276723276723277,True,True,True,True,True,True,False,False,False,False,False
Mistral-v0.1,500000,4,597800,19.56,0.16584678781254897,0.16883116883116883,-0.002984381018619864,False,0.17682317682317683,0.17682317682317683,0.15318819927055038,0.20045815437580328,0.17564870259481039,0.14229456582815955,0.20900283936146122,0.17345309381237523,0.1648383089243321,0.18206787870041835,0.1664737556936268,0.14656508656415745,0.18717092116656317,0.1664737556936268,0.1465133437105604,0.1866327018100574,0.16883116883116883,True,True,True,True,True,True,False,False,False,False,False
Mistral-v0.1,1500000,6,1601706,6.7804,0.17246310507999177,0.16883116883116883,0.0036319362488229368,True,0.1798201798201798,0.1798201798201798,0.15602917493057342,0.2036111847097862,0.17564870259481039,0.14229456582815955,0.20900283936146122,0.17145708582834332,0.16513798354549167,0.17777618811119497,0.17441011861515623,0.15381025742811377,0.19585080331177027,0.17441011861515623,0.1540843367790185,0.194731738934206,0.16883116883116883,True,True,True,True,True,True,False,False,False,False,False
Mistral-v0.1,3000000,6,0,-100.0,0.17547375686902966,0.16883116883116883,0.00664258803786083,True,0.18681318681318682,0.18681318681318682,0.16266758908774698,0.21095878453862665,0.18562874251497005,0.1515483255863494,0.2197091594435907,0.1780439121756487,0.1676962260733896,0.18839159827790777,0.17770207093637586,0.15749317477426503,0.19829706119202037,0.17770207093637586,0.15770348257156472,0.19816189791830555,0.16883116883116883,True,True,True,True,True,True,False,False,False,False,False
Mistral-v0.1,6500000,6,0,-100.0,0.17563812180219804,0.16883116883116883,0.0068069529710292065,True,0.18681318681318682,0.18681318681318682,0.16266758908774698,0.21095878453862665,0.16167664670658682,0.12940653283073011,0.19394676058244353,0.17564870259481036,0.165020825426697,0.18627657976292372,0.1772567008136589,0.15712797397038178,0.19773820348877055,0.1772567008136589,0.15762862983862952,0.19695414341721432,0.16883116883116883,True,True,True,True,True,True,False,False,False,False,False
Mistral-v0.3,500000,4,570228,14.0456,0.23622047168564553,0.2007992007992008,0.03542127088644473,True,0.24575424575424576,0.24575424575424576,0.21908283520336017,0.2724256563051314,0.2275449101796407,0.19079627185282885,0.26429354850645254,0.23313373253493014,0.22419888518952635,0.24206857988033392,0.23142950938692533,0.2070198396369089,0.25568368717185797,0.23142950938692533,0.2059711561779156,0.25648033642027956,0.2007992007992008,True,True,True,True,True,True,True,False,True,True,True
Mistral-v0.3,1500000,6,1565125,4.341666666666667,0.23745063078868628,0.2007992007992008,0.03665142998948548,True,0.25274725274725274,0.25274725274725274,0.22582471375316462,0.2796697917413408,0.23353293413173654,0.19644848037371238,0.2706173878897607,0.24650698602794413,0.2390996350083089,0.2539143370475794,0.23431211234337748,0.20949157748260003,0.2587742668590729,0.23431211234337748,0.20888987142209145,0.25858882070023353,0.2007992007992008,True,True,False,True,True,True,True,False,True,True,True
Mistral-v0.3,3000000,6,0,-100.0,0.23806811163242456,0.2007992007992008,0.037268910833223756,True,0.24775224775224775,0.24775224775224775,0.22100812951365012,0.27449636599084537,0.2554890219560878,0.2172600390134025,0.2937180048987731,0.23992015968063876,0.23183037069218265,0.24800994866909487,0.23463524731857874,0.20905572070595005,0.25938744269017283,0.23463524731857874,0.20891918443660637,0.2590743444442389,0.2007992007992008,True,True,True,True,True,True,True,True,True,True,True
Mistral-v0.3,6500000,6,0,-100.0,0.24004176717060283,0.2007992007992008,0.03924256637140203,True,0.24775224775224775,0.24775224775224775,0.22100812951365012,0.27449636599084537,0.2554890219560878,0.2172600390134025,0.2937180048987731,0.2407185628742515,0.23269717163833165,0.24873995411017136,0.2369057185194789,0.21206365133013558,0.26167857066263617,0.2369057185194789,0.21093080799262584,0.2615965079796294,0.2007992007992008,True,True,True,True,True,True,True,True,True,True,True
